一	a
开脱罪责	aqlc
天狼星	aqsk
一月份	aqvn
恶狠狠	aqxq
一肚子气	aqym
死	ar
死于	arad
死刑	arae
	aral
殨	aral
殡殓	arar
万象更新	aras
天各一方	aras
歼灭	arau
无怨无悔	arau
更多更好	araz
殪	arb
烈士	arba
天昏地暗	arbk
死者	arbm
殬	arbu
殓	arbv
死去	arbz
歼击	arbz
残云	arbz
殉职	arcj
殝	arcm
列表	arcr
残毒	arcz
死掉	ardi
残损	ardj
裂损	ardj
哥儿们	ardn
殖	are
殡葬	area
无名英雄	areg
殖	arel
列支	arex
一条龙	arfg
殐	arfj
残酷	arfm
无条件	arfn
一条街	arfo
死板	arfp
死机	arfq
一条心	arfw
死硬	arga
天然林	argf
残存	argi
天然气	argm
天然色	argr
殠	args
列在	argv
残破	argx
残	arh
殌	arhb
列车	arhe
殘	arhh
残	arhm
正处于	aria
副外长	aric
殒	arj
裂口	arja
殉国	arjc
殣	arjc
无名指	arjd
残品	arjj
殒	arjl
殞	arjl
残喘	arjl
形象化	arjn
死路	arjr
殑	arjr
一句话	arjs
殪	arju
两条路线	arjz
列	ark
烈日	arka
殲	arka
殱	arka
列	arkd
残暴	arke
殚	arke
殫	arke
殧	arkg
殭	arkk
殟	arkl
殯	arkl
殥	arko
銐	arkp
	arkr
鴷	arkr
鮤	arkr
烈	arku
烮	arku
死党	arkw
迾	arkw
劽	arky
殗	arkz
姴	arkz
殂	arlc
正负极	arlf
殃	arlg
死罪	arlk
殰	arll
残败	arlm
残骸	arls
裂解炉	arlu
歼	arm
天然气井	armb
殅	armc
残缺	arme
歼	arme
殀	armg
殊	armk
殈	arml
死敌	armm
死物	armr
残值	arne
可比价格	arnf
死伤	arnm
无条件反射	arnp
裂化	arnr
哥儿们义气	arns
殓	aro
死命	aroa
歹徒	arob
列入	arod
百儿八十	aroe
残杀	arof
残余	arom
殮	aroo
殎	aroo
殄	arop
飱	arox
可疑分子	aroy
死后	arpa
歽	arpd
殡	arpo
餮	arpo
列兵	arpo
殍	arpy
殁	arq
两条腿走路	arqb
殁	arqx
死	arr
殉	arrk
殙	arrk
裂解	arrl
正比例	arrn
歾	arro
殤	arro
死	arrr
残留	arrs
可比性	arru
殦	arrz
歹	ars
死亡	arsh
残部	arsj
殕	arsj
歹意	arsk
裂	arsr
裂变	arsx
列席	arte
残疾	artm
烈度	artv
裂痕	artx
残废	artz
烈	aru
烈性	arum
烈火	aruo
一鳞半爪	arup
残羹	aruu
列为	aruv
列举	arva
万多元	arvb
更多的	arvd
残渣	arvf
百多吨	arvj
死活	arvm
殏	arvs
天然染料	arvu
殡	arw
正多边形	arwa
列宁	arwa
残害	arwc
死守	arwd
两条道路	arwj
死神	arwk
无名之辈	arwk
殢	arwl
残迹	arws
死心	arwz
殛	arxa
死屍	arxa
肂	arxb
殔	arxk
死尸	arxm
死难	arxn
殉难	arxn
殆尽	arxs
殩	arxu
残局	arxy
一触即发	arxz
殖民	aryh
列强	aryj
裂隙	aryk
殃及	arym
列队	aryo
殇	aryo
残忍	arys
残障	arys
政务官	aryw
歿	aryx
殆	arz
殜	arzf
殆	arzj
裂纹	arzs
裂缝	arzw
列出	arzz
干部	as
可亲可敬	asae
无亲无故	asae
开放政策	asam
干部政策	asam
一言一行	asao
无计可施	asas
一望无际	asay
天衣无缝	asaz
天诛地灭	asba
开放地区	asbh
天旋地转	asbh
开放城市	asbs
与市场调节相结合	asbs
天主教	ascb
副主任	ascn
副主席	asct
正义事业	asdk
更新换代	asdn
开放搞活	asdv
严词拒绝	asdz
一衣带水	asek
可读写	asew
开诚相见	asfl
开斋节	asge
百读不厌	asgg
可望而不可即	asgg
可望而不可及	asgg
开诚布公	asgo
万变不离其宗	asgs
死记硬背	asgt
平方厘米	asgu
一方有难八方支援	asgx
一言不发	asgz
死亡率	ashs
干部战士	asib
副站长	asic
副部长	asjc
更高的	asjd
再就业	asjk
恶语中伤	asjn
一部分	asjo
开放电路	askj
无意识	asks
下意识	asks
无意间	askt
可变电容器	askw
副市长	aslc
夏商周断代工程	aslz
无产者	asmb
开放区	asmh
副产品	asmj
一诺千金	asmp
干部制度	asmt
开放性	asmu
副主任医师	asnh
开夜车	asnh
夏熟作物	asnm
干部作风	asnq
天高任鸟飞	asnr
无效分蘖	asoe
正义感	asoh
无论是	asok
平方公里	asok
天文学	asov
平方公尺	asox
正离子	asoy
天文台	asoz
无记名投票	asrd
更衣室	asrw
再立新功	assb
天方夜谭	asss
天文望远镜	assw
下议院	assy
可变资本	astf
一言为定	asuw
死说活说	asvs
一语道破	aswg
无意之中	aswj
一夜之间	aswt
无言对答	asxm
副译审	asxw
一言难尽	asxx
正方形	asya
妻离子散	asye
平方根	asyf
一方面	asyg
两方面	asyg
正方体	asyn
一意孤行	asyo
平方米	asyu
无产阶级	asyz
一言以蔽之	asze
无论如何	aszn
无言以对	aszx
政府	at
平庸无奇	atag
平装本	atbf
政府工作	atbn
政府工作报告	atbn
武装部	atbs
一席话	ates
政府机构	atff
一头雾水	atfk
政府机关	atfu
一病不起	atgb
百问不烦	atgu
百闻不如一见	atgz
一决雌雄	atig
顶头上司	atiy
两头小中间大	atkj
开门见喜	atlb
开阔眼界	atlk
开门见山	atll
开门红	atlz
干净利落	atme
残疾人	atmo
政府代表团	atnc
一应俱全	atno
豆腐乳	atnp
豆腐渣	atnv
百废俱兴	atnv
豆腐皮	atnx
残疾人联合会	atoc
武装入侵	aton
列席会议	atos
百废待兴	atov
百废待举	atov
天底下	atra
平底锅	atrp
一次性	atru
无底洞	atrv
融资额	atrw
一次方程	atsm
政府部门	atst
武装部队	atsy
武装斗争	attr
武装冲突	attw
政府首脑	atuq
平底烧瓶	atuu
开阔地	atvb
更应该	atvs
一席之地	atwb
政府官员	atwj
天府之国	atwj
一门心思	atwk
残废军人	atwo
一次又一次	atxa
下决心	atxw
武装力量	atyk
开门办学	atyv
下半年	au
平	aua
无懈可击	auab
灭顶	auag
平顶	auag
平武	auah
无忧无虑	auai
可惊可叹	auaj
更为严重	auam
融为一体	auan
平平	auau
下半场	aubb
平坦	aubk
下半时	aubk
下半年	aubm
副总工程师	aubm
平均	aubr
平壤	aubs
下半夜	aubs
开卷考试	aubs
平塘	aubt
平地	aubv
平声	aubx
平静	aucq
平素	aucz
一炮打响	audj
无精打彩	audp
灭菌	auej
平直	auel
平南	auel
平槽	aufe
平整	aufj
平板	aufp
平面	augj
平布	augl
开怀大笑	augm
平原	augn
平仄	augo
无关大局	augx
百炼成钢	auhp
下情上达	auiw
灭口	auja
干燥塔	aujb
副总理	aujc
副总裁	auje
干燥机	aujf
干燥器	aujj
平喘	aujl
干燥箱	aujm
干燥剂	aujs
无烟煤	auju
平邑	aujy
副总统	aujz
平日	auka
平时	aukd
无关紧要	aukf
平昌	aukk
开怀畅饮	auko
平常	aukw
烈火见真金	aule
平山	aull
平罗	aulr
无性生殖	auma
平等	aumb
平生	aumc
更为重要	aumf
平和	aumj
平复	aumk
平利	aumk
平稳	aumr
平移	aumr
干性油	aumv
无愧于	auna
平川	aund
平顺	aung
平舆	aunh
平泉	aunk
平价	auno
平信	auns
平息	aunw
灭	auo
恶性循环	auoc
丙烯酸	auof
平行	auoi
可怜虫	auoi
灭火器	auoj
平谷	auoo
平衡	auor
平分	auoy
平反	aupx
平凡	auqd
恶性膨胀	auqq
无性杂交	auqs
恶性肿瘤	auqt
一并处理	aurc
平乐	aurk
平角	aurl
可燃性	auru
灭亡	aush
平调	ausl
干燥设备	ausr
平方	ausy
平装	autb
平头	autg
平凉	auts
无关痛痒	autt
平度	autv
平庸	autx
无烟火药	auue
平米	auuf
灭火	auuo
平炉	auuw
平添	auva
平江	auvb
平湖	auve
平潭	auvf
平滑	auvl
平淡	auvu
平远	auwb
平定	auwd
百忙之中	auwj
平视	auwl
恶性案件	auwn
平遥	auwp
平炉钢	auwp
平房	auws
无米之炊	auwu
平通	auwx
平安	auwz
亚美尼亚	auxa
更快的	auxd
开快车	auxh
平局	auxy
平陆	auyb
平民	auyh
平阳	auyk
平阴	auyq
副总经理	auzc
平绒	auzh
平台	auzj
平缓	auzp
灭绝	auzr
平纹	auzs
可塑性	auzu
平级	auzy
平乡	auzz
天津	av
天津市	av
无法无天	avaa
一举一动	avab
无济于事	avad
一天	avag
一下	avai
一副	avaj
一潭死水	avak
一再	aval
一举两得	avao
一列	avar
一一	avav
一万	avay
一波未平一波又起	avba
一封	avbb
一二	avbd
一清二楚	avbf
一项	avbg
一来	avbk
一堆	avbn
政治工作	avbn
一块	avbx
一起	avby
一场	avby
一动	avbz
一波三折	avcd
一帮	avcy
一事	avdj
一排	avdk
一批	avdr
一寸	avds
一摊	avdx
一把	avdy
一挺	avdy
一十	aved
一直	avel
一截	aven
一共	aveo
一期	aveq
政治协商会议	aves
开源节流	avev
一带	avew
一节	avey
一本	avfa
一票	avfb
一杯	avfg
一栋	avfh
一束	avfj
一棵	avfk
政治权利	avfm
一枚	avfm
一株	avfm
一霎	avfs
一桩	avft
一样	avfu
一概	avfx
一根	avfx
一套	avgc
一面	avgj
政治面目	avgl
一页	avgo
一磅	avgs
一碗	avgw
一辆	avha
一致	avhm
一轮	avho
一举成名	avhr
一切	avhy
一点	avij
一步	avik
一桌	avik
一些	avir
一口	avja
一味	avjb
一团	avjd
一举中标	avjf
一吨	avjh
一回	avjj
一员	avjl
一只	avjo
一路	avjr
政治路线	avjz
一旦	avka
干湿表	avkc
一时	avkd
一早	avke
一颗	avkf
政治思想	avkf
一曲	avkk
一瞥	avkl
副油箱	avkm
一是	avkv
干涉内政	avla
一睹	avlb
一同	avld
一则	avlk
一具	avlo
一瞬	avlp
平滑肌	avlq
一眼	avlx
一等	avmb
一生	avmc
一手	avmd
一千	avme
一种	avmj
一泻千里	avmk
一篮	avmk
一年	avmm
干活儿	avmr
一簇	avms
一篇	avmw
一气	avmy
夏洛特阿马利亚	avmy
一例	avna
一段	avnc
一体	avnf
一代	avnh
一向	avnj
一侧	avnl
一件	avnm
政治体制	avnm
政治体制改革	avnm
一份	avno
一位	avns
一伙	avnu
一片	avnx
残渣余孽	avoe
一行	avoi
一个	avov
一令	avow
一律	avox
一分	avoy
一番	avpk
一艘	avpn
一般	avpq
一朵	avqf
一册	avqq
一股	avqq
一月	avqv
一腔	avqw
无法比拟	avrd
一条	avrf
一处	avri
一句	avrj
一角	avrl
一举多得	avro
一溜烟	avru
一色	avry
一语	avsb
一新	avsf
一部	avsj
一亩	avsk
一课	avsk
一端	avsl
一齐	avsn
一夜	avsn
一文	avso
一旁	avsu
平流层	avsx
一方	avsy
一刻	avsz
一床	avtf
一头	avtg
一门	avtl
一座	avto
一次	avtr
一度	avtv
一半	avub
一并	avue
一米	avuf
一类	avug
一单	avuk
一首	avun
一炷	avus
一举	avva
一汪	avvc
一派	avvp
天涯海角	avvr
一流	avvs
一宗	avwb
一定	avwd
一家	avwg
一连	avwh
天渊之别	avwj
一窝	avwj
无源之水	avwk
一道	avwu
可溶性	avwu
一遍	avww
一边	avwy
一心	avwz
一层	avxb
政治局面	avxg
一群	avxj
政治局常委	avxk
政治局委员	avxm
天津市	avxs
武汉市	avxs
一对	avxv
一双	avxx
一局	avxy
一张	avyc
政治改革	avye
顶梁柱	avyf
一阵	avyh
政治阴谋	avys
一线	avzh
政治上	avzi
一台	avzj
一贯	avzl
政治犯	avzq
一绝	avzr
政治部	avzs
一缕	avzu
政治经济	avzv
政治经济学	avzv
政治家	avzw
亚洲纪录	avzx
政治局	avzx
一级	avzy
一定	aw
平安无事	awad
无定形碳	awag
更进一步	awai
无家可归	awak
无官一身轻	awan
形迹可疑	awar
一心一意	awas
一通百通	awaw
无穷无尽	awax
无边无际	away
死心塌地	awbb
副社长	awbc
亚运村	awbf
一家老小	awbk
一穷二白	awbn
亚运会	awbo
平心静气	awcm
无害化	awcn
一定要	awdf
一定是	awdk
一定会	awdo
列宁格勒	awfe
形容枯槁	awff
于心不甘	awge
一家人	awgo
平心而论	awgs
一窍不通	awgw
一家子	awgy
一连串	awhj
烈军属	awhx
一窝蜂	awji
可视电话	awks
开宗明义	awks
无神论	awks
开户账号	awlj
顶视图	awlj
殊途同归	awlk
一视同仁	awln
可视性	awlu
开户行	awmo
开户名	awmr
开襟毛衣	awms
形容词	awos
天灾人祸	awow
开户银行	awpo
可逆反应	awpt
一连几天	awqa
顶礼膜拜	awqm
百家争鸣	awrj
正襟危坐	awro
晋察冀	awrt
瓦房店	awst
无房户	awsw
天安门广场	awtt
下定决心	awtw
可逆性	awuu
两袖清风	awvq
辷	awvv
一定之规	awwb
形近字根	awwf
天之骄子	awxy
无穷大	awyg
丁字路	awyj
无穷小	awyk
一边倒	awyn
丁字街	awyo
百褶裙	awyw
丁字尺	awyx
一定能够	awzr
平安夜	awzs
天安门	awzt
囊空如洗	awzv
两审终审制	awzw
开展	ax
下马威	axah
一马平川	axan
开展工作	axbn
干劲十足	axej
死皮赖脸	axfq
严肃查处	axfr
更属不易	axgk
万马奔腾	axgq
疌	axii
无刷电机	axkf
一马当先	axkm
开展业务	axkr
死马当活马医	axkv
戸	axm
百尺竿头	axmt
死难者	axnb
严肃性	axnu
天马行空	axow
严肃处理	axrc
妻儿	axrd
万马齐喑	axsj
一昼夜	axss
干劲冲天	axta
干群关系	axum
一对一	axva
死对头	axvt
一臂之力	axwy
妻子	axya
副局长	axyc
副书记	axys
亚马孙河	axyv
妻	axz
妻	axzm
鶈	axzr
郪	axzy
万	ay
副司长	ayac
万恶	ayak
于己于人	ayao
开司米	ayau
万一	ayav
万万	ayay
一刀两断	ayaz
武陵山	aybl
万元	aybr
万幸	aybu
一刀切	aydh
万事	aydj
无异于	ayea
万载	ayeh
瓦加杜古	ayfe
无孔不入	aygo
万辆	ayha
殖民地	ayhb
一阵子	ayhy
虿	ayi
干巴巴	ayiy
万吨	ayjh
趸	ayji
万里	aykb
正弦曲线	aykz
万山	ayll
万岁	aylr
万用	aylv
万县	aylz
万	aym
万千	ayme
万物	aymr
百孔千疮	aymt
万代	aynh
万全	ayoc
万人	ayod
副司令员	ayoj
万余	ayom
严加惩处	ayor
万个	ayov
万分	ayoy
万顷	ayrg
万象	ayrj
正弦规	aysb
正弦波	aysv
万米	ayuf
万源	ayvg
迈	ayw
万宁	aywa
副院长	aywc
万家	aywg
万户	aywm
无限期	ayxe
无限大	ayxg
无限制	ayxm
万难	ayxn
万张	ayyc
劢	ayym
万隆	ayyr
万贯	ayzl
严阵以待	ayzo
万能	ayzq
与	az
与	aza
无缘无故	azae
百发百中	azaj
夏收夏种	azam
瓸	azan
欤	azar
一丝一毫	azas
无级平滑输出	azau
瓦工	azbi
再结晶	azbk
下结论	azbs
天经地义	azbs
与其	azec
与共	azeo
瓦斯	azep
瓦楞	azfl
一丝不挂	azgd
一丝不苟	azge
与否	azgj
瓦砾	azgr
再好不过	azgw
副线圈	azhj
无线电	azhk
无线网	azhl
瓲	azhz
副台长	azjc
开发中心	azjw
瓼	azkb
甅	azkb
无线电话	azks
无线电波	azkv
无线电台	azkz
副组长	azlc
一贯制	azlm
瓦特	azmb
瓦罐	azme
开发利用	azml
攷	azmo
一发千钧	azmp
无以复加	azmy
可以休矣	aznz
与会	azob
一级企业	azok
可以用	azol
可以说	azos
灭绝人性	azou
开发公司	azoy
瓰	azoy
无缝钢管	azpm
瓪	azpx
可能会	azqo
可能性	azqu
瓦解	azrl
政纪处分	azro
夨	azs
副参谋长	azsc
瓧	azse
瓩	azsm
瓱	azsm
无级变倍	azsn
一贯方针	azsp
一贯主张	azsy
邷	azsy
瓦店	azti
开发资源	aztv
无能为力	azuy
开发区	azvh
开发商	azvs
开发部	azvs
开发性	azvu
丂	azvv
开发费	azvy
恶贯满盈	azvy
与之	azwa
一怒之下	azwa
万贯家财	azwl
无线通信	azwn
开始实行	azwo
一纸空文	azws
瓦房	azws
副编审	azww
副经理	azxc
无线寻呼	azxj
一如既往	azxo
开绿灯	azxu
瓦	azy
更好的	azyd
瓦努阿图	azyj
无纪律	azyo
瓦	azys
副乡长	azzc
开始时	azzk
无级缩放	azzs
地	b
土	ba
士	baa
巧干	baae
地下开采	baap
喜形于色	baar
赶巧	baba
赶考	baba
土坯	babg
赶赴	babi
赶工	babi
赶来	babk
二万五千里长征	babm
赶走	babo
土壤	babs
土地	babv
赶超	baby
考场	baby
考取	bacx
圩	bad
考据	badx
赶	bae
土葬	baea
土著	baeb
老于世故	baee
考勤	baej
考古	baej
地形图	baej
老干部	baes
土木	bafa
考查	bafk
考核	bafs
考研	baga
攻无不克	bage
老死不相往来	bagf
赶车	bahe
赶到	bahk
土匪	bahk
圢	bai
圷	baid
地下茎	baie
赶点	baij
考点	baij
地下水	baik
赶上	baiv
考虑	baiw
地下室	baiw
坷	baj
赶回	bajj
堛	bajk
塥	bajl
起死回生	bajm
赶路	bajr
五一国际劳动节	bajy
都可以	bajz
埂	bak
考题	baka
考量	baka
赶早	bake
地下水面	bakg
地下水位	bakn
埂	bako
垭	baku
赶紧	bakx
圭亚那	baky
考生	bamc
士气	bamy
赶集	banf
老百姓	banz
巧合	baoa
考入	baod
赶往	baos
土质	bape
士兵	bapo
地下铁道	bapw
赶脚	baqb
趔	bar
赶印	bara
替死鬼	barn
均列为	baru
考证	basa
考评	basa
考试	bash
土豪	basj
土产	basm
土族	basm
土方	basy
坪	bau
坪	baua
动平衡	bauo
赶忙	baus
赶快	baux
考卷	bauy
地平线	bauz
土法	bavb
老一套	bavg
老一辈	bavk
土温	bavk
赶海	bavm
地下害虫	bawi
巧遇	bawk
考究	bawq
考察	bawr
填平补齐	baws
土层	baxb
考验	baxo
夫妻店	baxt
土司	baya
土改	baym
土建	bayx
考	baz
考绩	bazc
巧妙	bazk
墕	bazu
考级	bazy
赶出	bazz
款	bb
土坷垃	bbab
款型	bbae
封顶	bbag
功亏一篑	bbam
奊	bbas
垚	bbb
壵	bbb
越来越坏	bbbb
款项	bbbg
越来越大	bbbg
堯	bbbg
墝	bbbg
越来越少	bbbk
越来越小	bbbk
专款专用	bbbl
越来越重要	bbbm
越来越低	bbbn
越来越多	bbbr
越来越高	bbbs
越来越强	bbby
越来越好	bbbz
封	bbd
堼	bbdb
鞤	bbde
幇	bbdl
犎	bbdm
封	bbds
起起落落	bbee
塔吉克斯坦	bbee
堵截	bben
塔塔尔	bber
塔吉克族	bbes
封禁	bbff
墙砖	bbgb
来者不拒	bbgd
土壤有机质	bbgf
顤	bbgg
二项式	bbgh
封存	bbgi
封面	bbgj
五项原则	bbgl
井井有条	bbgr
赫赫有名	bbgr
工夫不负有心人	bbgr
遶	bbgw
款式	bbhb
堵车	bbhe
城域网	bbhl
起动转矩	bbhm
卦	bbi
赫赫战功	bbib
卦	bbid
地址栏	bbif
封口	bbja
堵口	bbja
壔	bbjd
封固	bbje
塔吉克	bbje
土地国有化	bbjg
墙	bbjj
墻	bbjj
坩埚钳	bbjp
郌	bbjy
垣	bbk
越来越	bbkb
刲	bbkd
垣曲	bbkk
赶趟儿	bbkr
封山	bbll
堵	bbm
坛坛罐罐	bbmm
未老先衰	bbms
来去自由	bbnk
幫	bbnl
志士仁人	bbno
堵住	bbns
款待	bbob
封杀	bbof
专项合同	bbol
来来往往	bboo
堎	bbor
土壤质地	bbpb
封丘	bbpd
封锁	bbpk
土壤胶体	bbqn
土壤肥力	bbqy
款	bbr
垃圾处理	bbrc
坃	bbrd
封条	bbrf
二元酸	bbrf
款	bbro
来去匆匆	bbrr
二元论	bbrs
塔塔尔族	bbrs
堪培拉	bbsd
土壤带	bbse
土壤学	bbsv
封装	bbtb
封闭	bbtd
封冻	bbth
封底	bbtr
墶	bbuw
土地税	bbvm
土地证	bbvs
土壤温度	bbvt
土壤湿度	bbvt
土壤溶液	bbvv
圭	bbvv
地壳运动	bbwb
堵塞	bbwe
老老实实	bbww
二者必居其一	bbwx
鼃	bbwx
恚	bbwz
封皮	bbxi
隷	bbxk
鼓起勇气	bbxm
超声波	bbxv
邽	bby
款子	bbya
垃圾堆	bbyb
土地改革	bbye
示功图	bbyj
土地税	bbym
劸	bbym
土壤改良	bbys
封建	bbyx
翹	bbyy
坛	bbz
圬	bbz
埡	bbz
土壤结构	bbzf
坘	bbzm
地动仪	bbzn
坛	bbzs
奊	bbzs
互动性	bbzu
增长	bc
专职干部	bcas
埲	bcbi
互帮互助	bcbl
地理环境	bccb
地球村	bcdf
趣事	bcdj
地球仪	bcdn
二三级	bcdz
土耳其	bcee
地球磁场	bcgb
增长至	bchh
增长点	bchi
增长率	bchs
趣味	bcjb
教职工	bcjb
教职员	bcjj
壃	bckk
地理学	bckv
元素周期	bcle
元素周期律	bcle
元素周期表	bcle
互联网信息	bcln
增长幅度	bclt
地球物理	bcmc
元素符号	bcmj
地理位置	bcnl
地球化学	bcnv
堾	bco
埥	bcq
巧取豪夺	bcsg
趣闻	bctc
互联网	bcul
增长速度	bcwt
趣	bcx
垹	bcy
塐	bcz
壣	bczz
二	bd
走投无路	bdaj
二百	bdan
二列	bdar
二万	bday
亖	bdbd
二者	bdbm
二元	bdbr
趁热打铁	bddp
二十	bded
二胡	bdej
二期	bdeq
起搏器	bdfj
二楼	bdfu
鄻	bdfy
漦	bdgk
氂	bdgm
犛	bdgm
叆	bdgx
剺	bdgy
孷	bdgy
嫠	bdgz
顽抗到底	bdht
亍	bdi
老掉牙	bdih
亏损面	bdjg
亜	bdjk
鬶	bdjl
鬹	bdjl
亏损率	bdjs
亏损额	bdjw
亘	bdk
釐	bdkb
戩	bdkh
刯	bdkk
赉	bdkl
未	bdko
来	bdkv
悪	bdkw
叇	bdkw
鼋	bdkz
椝	bdlf
槼	bdlf
未摆脱	bdlq
鄼	bdly
嫢	bdlz
二等	bdmb
二手	bdmd
二千	bdme
井	bdn
坓	bdnb
井	bdnd
亓	bdnd
汬	bdnk
丼	bdns
进	bdnw
夫	bdod
工控微机	bdof
輦	bdof
辇	bdoh
替	bdok
规	bdol
規	bdol
賛	bdol
斄	bdoo
来势凶猛	bdoq
鳺	bdor
二分	bdoy
邞	bdoy
赫哲族	bdps
均热炉	bdqu
二月	bdqv
坖	bdrb
元	bdrd
顽	bdrg
頑	bdrg
刓	bdrk
五指山	bdrl
亙	bdrs
亙	bdrt
互换性	bdru
远	bdrw
黿	bdrw
邧	bdry
寺	bds
塔拉瓦	bdsa
二部	bdsj
二话	bdsm
慭	bdsw
地拉那	bdsy
坏事变好事	bdsz
寺庙	bdtk
二次	bdtr
颊	bdug
頬	bdug
二类	bdug
刾	bduk
夹	bduo
郏	bduy
声势浩大	bdvg
二流	bdvs
来势汹汹	bdvv
二心	bdwz
忈	bdwz
叇	bdxk
考据学	bdxv
邿	bdy
地热异常	bdyk
二把手	bdym
刱	bdyo
寺院	bdyw
二把刀	bdyy
亏	bdz
亐	bdz
二线	bdzh
兘	bdzj
晉	bdzk
互	bdzm
魂	bdzn
二维	bdzn
云	bdzs
专	bdzs
运	bdzw
迃	bdzw
动	bdzy
二级	bdzy
二垒	bdzz
填	be
二十一世纪	beae
塔顶	beag
二十一点	beai
塔	beaj
填平	beau
坩	beb
塔城	bebh
二十二点	bebi
坩埚	bebj
二期工程	bebm
墸	bebm
土著人	bebo
互敬互爱	bebp
二十三点	beci
填表	becr
喜获丰收	becz
塔克拉玛干沙漠	bedc
二十点	bedi
二十米	bedu
五十米	bedu
坑蒙拐骗	bedx
填报	bedy
示范基地	beeb
墷	beeb
堪萨斯城	beeb
墳	beel
二十世纪	beez
堞	bef
塔林	beff
塔楼	befu
墙砖	begb
去芜存菁	bege
攻其不备	begr
动荡不安	begw
五花大绑	begz
塔式	behb
墐	bejc
墙	bejj
塔吊	bejl
考勤簿	bejm
壦	bejn
坦克兵	bejp
考古学	bejv
巧克力	bejy
塻	bekg
老黄牛	bekm
墴	beko
埃菲社	bekw
埴	belc
二十四点	beli
云南省	belk
填	belo
夹芯复合板	bemo
堪称	bemr
工艺程序	bemt
考勤制度	bemt
墘	bemy
土茯苓	bene
老花眼	benl
老花镜	benp
埖	benr
垬	beo
五花八门	beot
塨	beou
塂	beoy
塔斯社	bepw
墙脚	beqb
超期服役	beqo
墙角	berl
塃	besn
壊	besr
考勤记录	besx
填充	besz
走南闯北	bett
墙	beu
工艺美术	beuf
堪忧	beug
填料	beut
工艺性能	beuz
超薄型	beva
塔河	beva
填满	beve
工艺流程	bevm
规范化	bevn
坍落度	bevt
起落架	bevy
填写	bewa
填空	bewb
填补	bewi
墆	bewl
墙壁	bexj
专卖店	bext
攻克难关	bexu
土著居民	bexy
工艺品	beyj
贡献力量	beyk
工艺师	beyk
工艺学	beyv
堪	bez
堞	bezf
墙线	bezh
壒	bezl
墈	bezy
规模	bf
埔	bfb
堙	bfb
墂	bfbk
超标准	bfbt
墵	bfbz
互相帮助	bfcl
塼	bfds
互相支持	bfed
动植物	bfem
壩	bfeq
塛	bff
吉林省	bffk
互相配合	bffo
地震带	bfge
壖	bfgl
地震仪	bfgn
地震学	bfgv
地震局	bfgx
老框框	bfhf
考核成绩	bfhz
专横跋扈	bfjw
埬	bfk
墰	bfke
互相照顾	bfkg
互相监督	bfki
堜	bflk
老相识	bfls
土霉素	bfmc
动植物检疫	bfmf
赤霉病	bfmt
规模优势	bfnd
都柏林	bfnf
互相促进	bfnw
互相合作	bfon
互惠待遇	bfow
